Datetime,Date,Year,Month,Quarter,MonthName,DayName,holiday
2036-01-01,2036-01-01,2036,1,1,January,Tuesday,New Year's Day
2037-01-01,2037-01-01,2037,1,1,January,Thursday,New Year's Day
2039-01-01,2039-01-01,2039,1,1,January,Saturday,New Year's Day
2041-01-01,2041-01-01,2041,1,1,January,Tuesday,New Year's Day
2043-01-01,2043-01-01,2043,1,1,January,Thursday,New Year's Day
2071-01-01,2071-01-01,2071,1,1,January,Thursday,New Year's Day
2075-01-01,2075-01-01,2075,1,1,January,Tuesday,New Year's Day
2078-01-01,2078-01-01,2078,1,1,January,Saturday,New Year's Day
2064-01-01,2064-01-01,2064,1,1,January,Tuesday,New Year's Day
2065-01-01,2065-01-01,2065,1,1,January,Thursday,New Year's Day
2067-01-01,2067-01-01,2067,1,1,January,Saturday,New Year's Day
2069-01-01,2069-01-01,2069,1,1,January,Tuesday,New Year's Day
2009-01-01,2009-01-01,2009,1,1,January,Thursday,New Year's Day
2011-01-01,2011-01-01,2011,1,1,January,Saturday,New Year's Day
2013-01-01,2013-01-01,2013,1,1,January,Tuesday,New Year's Day
2015-01-01,2015-01-01,2015,1,1,January,Thursday,New Year's Day
2047-01-01,2047-01-01,2047,1,1,January,Tuesday,New Year's Day
2050-01-01,2050-01-01,2050,1,1,January,Saturday,New Year's Day
2019-01-01,2019-01-01,2019,1,1,January,Tuesday,New Year's Day
2022-01-01,2022-01-01,2022,1,1,January,Saturday,New Year's Day
2026-01-01,2026-01-01,2026,1,1,January,Thursday,New Year's Day
2028-01-01,2028-01-01,2028,1,1,January,Saturday,New Year's Day
2030-01-01,2030-01-01,2030,1,1,January,Tuesday,New Year's Day
2032-01-01,2032-01-01,2032,1,1,January,Thursday,New Year's Day
2033-01-01,2033-01-01,2033,1,1,January,Saturday,New Year's Day
2054-01-01,2054-01-01,2054,1,1,January,Thursday,New Year's Day
2056-01-01,2056-01-01,2056,1,1,January,Saturday,New Year's Day
2058-01-01,2058-01-01,2058,1,1,January,Tuesday,New Year's Day
2060-01-01,2060-01-01,2060,1,1,January,Thursday,New Year's Day
2061-01-01,2061-01-01,2061,1,1,January,Saturday,New Year's Day
2040-01-01,2040-01-01,2040,1,1,January,Sunday,New Year's Day
2045-01-01,2045-01-01,2045,1,1,January,Sunday,New Year's Day
2073-01-01,2073-01-01,2073,1,1,January,Sunday,New Year's Day
2079-01-01,2079-01-01,2079,1,1,January,Sunday,New Year's Day
2068-01-01,2068-01-01,2068,1,1,January,Sunday,New Year's Day
2012-01-01,2012-01-01,2012,1,1,January,Sunday,New Year's Day
2017-01-01,2017-01-01,2017,1,1,January,Sunday,New Year's Day
2051-01-01,2051-01-01,2051,1,1,January,Sunday,New Year's Day
2023-01-01,2023-01-01,2023,1,1,January,Sunday,New Year's Day
2034-01-01,2034-01-01,2034,1,1,January,Sunday,New Year's Day
2062-01-01,2062-01-01,2062,1,1,January,Sunday,New Year's Day
2042-01-01,2042-01-01,2042,1,1,January,Wednesday,New Year's Day
2076-01-01,2076-01-01,2076,1,1,January,Wednesday,New Year's Day
2081-01-01,2081-01-01,2081,1,1,January,Wednesday,New Year's Day
2070-01-01,2070-01-01,2070,1,1,January,Wednesday,New Year's Day
2014-01-01,2014-01-01,2014,1,1,January,Wednesday,New Year's Day
2048-01-01,2048-01-01,2048,1,1,January,Wednesday,New Year's Day
2053-01-01,2053-01-01,2053,1,1,January,Wednesday,New Year's Day
2020-01-01,2020-01-01,2020,1,1,January,Wednesday,New Year's Day
2025-01-01,2025-01-01,2025,1,1,January,Wednesday,New Year's Day
2031-01-01,2031-01-01,2031,1,1,January,Wednesday,New Year's Day
2059-01-01,2059-01-01,2059,1,1,January,Wednesday,New Year's Day
2038-01-01,2038-01-01,2038,1,1,January,Friday,New Year's Day
2044-01-01,2044-01-01,2044,1,1,January,Friday,New Year's Day
2072-01-01,2072-01-01,2072,1,1,January,Friday,New Year's Day
2077-01-01,2077-01-01,2077,1,1,January,Friday,New Year's Day
2066-01-01,2066-01-01,2066,1,1,January,Friday,New Year's Day
2010-01-01,2010-01-01,2010,1,1,January,Friday,New Year's Day
2016-01-01,2016-01-01,2016,1,1,January,Friday,New Year's Day
2049-01-01,2049-01-01,2049,1,1,January,Friday,New Year's Day
2021-01-01,2021-01-01,2021,1,1,January,Friday,New Year's Day
2027-01-01,2027-01-01,2027,1,1,January,Friday,New Year's Day
2055-01-01,2055-01-01,2055,1,1,January,Friday,New Year's Day
2037-07-04,2037-07-04,2037,7,3,July,Saturday,Independence Day
2043-07-04,2043-07-04,2043,7,3,July,Saturday,Independence Day
2071-07-04,2071-07-04,2071,7,3,July,Saturday,Independence Day
2076-07-04,2076-07-04,2076,7,3,July,Saturday,Independence Day
2065-07-04,2065-07-04,2065,7,3,July,Saturday,Independence Day
2009-07-04,2009-07-04,2009,7,3,July,Saturday,Independence Day
2015-07-04,2015-07-04,2015,7,3,July,Saturday,Independence Day
2048-07-04,2048-07-04,2048,7,3,July,Saturday,Independence Day
2020-07-04,2020-07-04,2020,7,3,July,Saturday,Independence Day
2026-07-04,2026-07-04,2026,7,3,July,Saturday,Independence Day
2054-07-04,2054-07-04,2054,7,3,July,Saturday,Independence Day
2041-07-04,2041-07-04,2041,7,3,July,Thursday,Independence Day
2075-07-04,2075-07-04,2075,7,3,July,Thursday,Independence Day
2080-07-04,2080-07-04,2080,7,3,July,Thursday,Independence Day
2069-07-04,2069-07-04,2069,7,3,July,Thursday,Independence Day
2013-07-04,2013-07-04,2013,7,3,July,Thursday,Independence Day
2047-07-04,2047-07-04,2047,7,3,July,Thursday,Independence Day
2052-07-04,2052-07-04,2052,7,3,July,Thursday,Independence Day
2019-07-04,2019-07-04,2019,7,3,July,Thursday,Independence Day
2024-07-04,2024-07-04,2024,7,3,July,Thursday,Independence Day
2030-07-04,2030-07-04,2030,7,3,July,Thursday,Independence Day
2058-07-04,2058-07-04,2058,7,3,July,Thursday,Independence Day
2034-07-04,2034-07-04,2034,7,3,July,Tuesday,Independence Day
2035-07-04,2035-07-04,2035,7,3,July,Wednesday,Independence Day
2036-07-04,2036-07-04,2036,7,3,July,Friday,Independence Day
2038-07-04,2038-07-04,2038,7,3,July,Sunday,Independence Day
2040-07-04,2040-07-04,2040,7,3,July,Wednesday,Independence Day
2042-07-04,2042-07-04,2042,7,3,July,Friday,Independence Day
2073-07-04,2073-07-04,2073,7,3,July,Tuesday,Independence Day
2074-07-04,2074-07-04,2074,7,3,July,Wednesday,Independence Day
2077-07-04,2077-07-04,2077,7,3,July,Sunday,Independence Day
2079-07-04,2079-07-04,2079,7,3,July,Tuesday,Independence Day
2062-07-04,2062-07-04,2062,7,3,July,Tuesday,Independence Day
2063-07-04,2063-07-04,2063,7,3,July,Wednesday,Independence Day
2064-07-04,2064-07-04,2064,7,3,July,Friday,Independence Day
2066-07-04,2066-07-04,2066,7,3,July,Sunday,Independence Day
2068-07-04,2068-07-04,2068,7,3,July,Wednesday,Independence Day
2070-07-04,2070-07-04,2070,7,3,July,Friday,Independence Day
2010-07-04,2010-07-04,2010,7,3,July,Sunday,Independence Day
2012-07-04,2012-07-04,2012,7,3,July,Wednesday,Independence Day
2014-07-04,2014-07-04,2014,7,3,July,Friday,Independence Day
2045-07-04,2045-07-04,2045,7,3,July,Tuesday,Independence Day
