LocationId,Borough,Zone,ServiceZone,NeighborhoodType,IsAirport
1,EWR,Newark Airport,Airport,Airport,True
2,Brooklyn,Zone 2,Yellow Zone,Industrial,False
3,Brooklyn,Zone 3,Boro Zone,Entertainment,False
4,Manhattan,Zone 4,Boro Zone,Entertainment,False
5,Staten Island,Zone 5,Airport,Entertainment,False
6,Queens,Zone 6,Yellow Zone,Entertainment,False
7,Brooklyn,Zone 7,Yellow Zone,Mixed,False
8,Staten Island,Zone 8,Yellow Zone,Commercial,False
9,Manhattan,Zone 9,Boro Zone,Industrial,False
10,Staten Island,Zone 10,Yellow Zone,Mixed,False
11,Manhattan,Zone 11,Yellow Zone,Entertainment,False
12,Manhattan,Zone 12,Boro Zone,Entertainment,False
13,Brooklyn,Zone 13,Boro Zone,Commercial,False
14,Manhattan,Zone 14,Boro Zone,Residential,False
15,Brooklyn,Zone 15,Airport,Entertainment,False
16,Brooklyn,Zone 16,Boro Zone,Mixed,False
17,Manhattan,Zone 17,Yellow Zone,Entertainment,False
18,Queens,Zone 18,Yellow Zone,Industrial,False
19,Manhattan,Zone 19,Boro Zone,Commercial,False
20,Staten Island,Zone 20,Boro Zone,Mixed,False
21,Staten Island,Zone 21,Boro Zone,Mixed,False
22,Bronx,Zone 22,Airport,Commercial,False
23,Queens,Zone 23,Yellow Zone,Commercial,False
24,Manhattan,Zone 24,Airport,Residential,False
25,Staten Island,Zone 25,Airport,Mixed,False
26,Queens,Zone 26,Yellow Zone,Commercial,False
27,Bronx,Zone 27,Yellow Zone,Mixed,False
28,Queens,Zone 28,Airport,Mixed,False
29,Staten Island,Zone 29,Airport,Mixed,False
30,Manhattan,Zone 30,Airport,Industrial,False
31,Staten Island,Zone 31,Airport,Mixed,False
32,Bronx,Zone 32,Boro Zone,Residential,False
33,Queens,Zone 33,Airport,Commercial,False
34,Queens,Zone 34,Yellow Zone,Mixed,False
35,Queens,Zone 35,Yellow Zone,Entertainment,False
36,Brooklyn,Zone 36,Airport,Residential,False
37,Brooklyn,Zone 37,Boro Zone,Mixed,False
38,Manhattan,Zone 38,Yellow Zone,Entertainment,False
39,Brooklyn,Zone 39,Airport,Commercial,False
40,Manhattan,Zone 40,Boro Zone,Mixed,False
41,Staten Island,Zone 41,Airport,Mixed,False
42,Queens,Zone 42,Airport,Commercial,False
43,Brooklyn,Zone 43,Yellow Zone,Industrial,False
44,Bronx,Zone 44,Yellow Zone,Residential,False
45,Queens,Zone 45,Boro Zone,Industrial,False
46,Bronx,Zone 46,Boro Zone,Mixed,False
47,Staten Island,Zone 47,Airport,Entertainment,False
48,Manhattan,Zone 48,Airport,Mixed,False
49,Bronx,Zone 49,Airport,Residential,False
50,Brooklyn,Zone 50,Boro Zone,Commercial,False
51,Manhattan,Zone 51,Boro Zone,Residential,False
52,Staten Island,Zone 52,Yellow Zone,Industrial,False
53,Staten Island,Zone 53,Boro Zone,Residential,False
54,Brooklyn,Zone 54,Airport,Residential,False
55,Manhattan,Zone 55,Boro Zone,Commercial,False
56,Queens,Zone 56,Boro Zone,Industrial,False
57,Bronx,Zone 57,Airport,Industrial,False
58,Staten Island,Zone 58,Yellow Zone,Entertainment,False
59,Staten Island,Zone 59,Boro Zone,Industrial,False
60,Brooklyn,Zone 60,Yellow Zone,Commercial,False
61,Queens,Zone 61,Airport,Commercial,False
62,Brooklyn,Zone 62,Boro Zone,Commercial,False
63,Bronx,Zone 63,Boro Zone,Residential,False
64,Brooklyn,Zone 64,Boro Zone,Residential,False
65,Manhattan,Zone 65,Airport,Entertainment,False
66,Bronx,Zone 66,Airport,Residential,False
67,Bronx,Zone 67,Airport,Entertainment,False
68,Queens,Zone 68,Boro Zone,Mixed,False
69,Manhattan,Zone 69,Airport,Mixed,False
70,Staten Island,Zone 70,Airport,Residential,False
71,Manhattan,Zone 71,Boro Zone,Residential,False
72,Staten Island,Zone 72,Boro Zone,Industrial,False
73,Brooklyn,Zone 73,Yellow Zone,Residential,False
74,Bronx,Zone 74,Boro Zone,Industrial,False
75,Bronx,Zone 75,Boro Zone,Residential,False
76,Queens,Zone 76,Boro Zone,Mixed,False
77,Queens,Zone 77,Yellow Zone,Mixed,False
78,Brooklyn,Zone 78,Boro Zone,Entertainment,False
79,Queens,Zone 79,Airport,Mixed,False
80,Bronx,Zone 80,Yellow Zone,Entertainment,False
81,Staten Island,Zone 81,Boro Zone,Mixed,False
82,Brooklyn,Zone 82,Yellow Zone,Mixed,False
83,Queens,Zone 83,Airport,Commercial,False
84,Staten Island,Zone 84,Yellow Zone,Residential,False
85,Queens,Zone 85,Yellow Zone,Entertainment,False
86,Queens,Zone 86,Boro Zone,Mixed,False
87,Brooklyn,Zone 87,Boro Zone,Residential,False
88,Queens,Zone 88,Yellow Zone,Entertainment,False
89,Staten Island,Zone 89,Airport,Entertainment,False
90,Queens,Zone 90,Yellow Zone,Commercial,False
91,Bronx,Zone 91,Yellow Zone,Mixed,False
92,Staten Island,Zone 92,Yellow Zone,Commercial,False
93,Queens,Zone 93,Boro Zone,Residential,False
94,Queens,Zone 94,Airport,Mixed,False
95,Staten Island,Zone 95,Yellow Zone,Commercial,False
96,Brooklyn,Zone 96,Yellow Zone,Commercial,False
97,Queens,Zone 97,Yellow Zone,Entertainment,False
98,Bronx,Zone 98,Yellow Zone,Entertainment,False
99,Queens,Zone 99,Airport,Entertainment,False
100,Staten Island,Zone 100,Airport,Residential,False
101,Bronx,Zone 101,Airport,Residential,False
