vendorID,PickupDatetime,DropoffDatetime,PickupDate,DropoffDate,Duration,passengerCount,tripDistance,puLocationId,doLocationId,pickupLongitude,pickupLatitude,dropoffLongitude,dropoffLatitude,rateCodeID,storeAndFwdFlag,paymentType,fareAmount,extra,mtaTax,improvementSurcharge,tipAmount,tollsAmount,ehailFee,totalAmount,tripType
1,2014-05-14 17:21:55,2014-05-14 18:35:25,2014-05-14,2014-05-14,4410,2,17.5,,,-73.90033721923828,40.741233825683594,-73.86101531982422,40.73537826538086,1,N,3,61.0,1.0,0.5,,0.0,10.66,,73.16,1
1,2014-05-02 18:02:55,2014-05-02 18:06:02,2014-05-02,2014-05-02,187,2,0.4,,,-73.92575073242188,40.65920639038086,-73.92301940917969,40.655479431152344,1,N,1,4.0,1.0,0.5,,0.0,9.5,,15.0,1
1,2014-09-05 16:40:05,2014-09-05 17:25:42,2014-09-05,2014-09-05,2737,2,15.8,,,-74.01997375488281,40.64622497558594,-74.19817352294922,40.559173583984375,1,N,2,47.0,1.0,0.5,,0.0,10.66,,59.16,1
1,2014-09-12 16:35:52,2014-09-12 18:37:30,2014-09-12,2014-09-12,7298,2,22.2,,,-73.9530258178711,40.79154586791992,-74.1248779296875,40.62667465209961,1,N,2,87.5,1.0,0.5,,0.0,15.99,,104.99,1
1,2014-09-22 19:45:30,2014-09-22 21:07:37,2014-09-22,2014-09-22,4927,2,36.8,,,-73.94365692138672,40.79949188232422,-73.88444519042969,40.83091735839844,1,N,2,105.5,1.0,0.5,,0.0,10.66,,117.66,1
1,2014-09-16 15:39:50,2014-09-16 16:40:08,2014-09-16,2014-09-16,3618,2,26.0,,,-73.98463439941406,40.693504333496094,-74.21061706542969,40.527748107910156,1,Y,2,72.5,1.0,0.5,,0.0,10.66,,84.66,1
2,2014-08-26 16:52:14,2014-08-26 16:56:50,2014-08-26,2014-08-26,276,2,0.76,,,-73.9085693359375,40.75408172607422,-73.91583251953125,40.7601318359375,1,N,2,5.0,1.0,0.5,,0.0,2.0,,8.5,1
1,2014-08-26 17:55:19,2014-08-26 18:36:48,2014-08-26,2014-08-26,2489,2,10.7,,,-73.8451919555664,40.75477600097656,-73.98963165283203,40.75694274902344,1,N,2,39.5,1.0,0.5,,0.0,5.34,,46.34,1
1,2014-08-29 19:47:19,2014-08-29 20:06:40,2014-08-29,2014-08-29,1161,2,4.9,,,-73.95155334472656,40.81184387207031,-73.92280578613281,40.793880462646484,1,N,2,17.5,1.0,0.5,,0.0,10.66,,29.66,1
1,2014-08-27 19:28:39,2014-08-27 19:55:24,2014-08-27,2014-08-27,1605,2,5.5,,,-73.9532470703125,40.74522018432617,-73.98069763183594,40.72966766357422,1,N,2,22.5,1.0,0.5,,0.0,0.5,,24.5,1
1,2014-08-14 17:02:19,2014-08-14 17:11:59,2014-08-14,2014-08-14,580,2,1.7,,,-73.95698547363281,40.74473571777344,-73.93782043457031,40.748802185058594,1,N,2,8.5,1.0,0.5,,0.0,0.5,,10.5,1
2,2014-08-07 16:24:52,2014-08-07 16:39:02,2014-08-07,2014-08-07,850,2,2.31,,,-73.95655059814453,40.74692153930664,-73.9754409790039,40.74824142456055,1,N,2,11.5,1.0,0.5,,0.0,7.33,,20.33,1
2,2014-08-07 16:47:29,2014-08-07 17:46:44,2014-08-07,2014-08-07,3555,2,11.33,,,-73.86209106445312,40.73038101196289,-73.91138458251953,40.844425201416016,1,N,2,46.0,1.0,0.5,,0.0,10.66,,58.16,1
2,2014-08-07 18:58:51,2014-08-07 19:28:11,2014-08-07,2014-08-07,1760,2,9.93,,,-73.82280731201172,40.686767578125,-73.83935546875,40.57819366455078,1,N,2,31.5,1.0,0.5,,0.0,2.0,,35.0,1
2,2014-05-02 17:33:10,2014-05-02 18:53:08,2014-05-02,2014-05-02,4798,2,36.02,,,-73.95543670654297,40.669471740722656,-74.40724182128906,40.47272491455078,3,N,1,119.0,1.0,0.0,,0.0,21.66,,141.66,1
2,2014-09-30 17:26:22,2014-09-30 18:53:43,2014-09-30,2014-09-30,5241,2,22.07,,,-73.92737579345703,40.74394989013672,-74.17761993408203,40.69527816772461,3,N,1,95.0,1.0,0.0,,0.0,15.3,,111.3,1
1,2014-08-07 18:20:43,2014-08-07 19:31:36,2014-08-07,2014-08-07,4253,2,21.9,,,-73.95509338378906,40.82033920288086,-74.17674255371094,40.69354248046875,3,N,2,90.5,1.0,0.0,,0.0,12.2,,103.7,1
1,2014-05-22 19:08:40,2014-05-22 19:37:28,2014-05-22,2014-05-22,1728,3,8.1,,,-73.91307830810547,40.76620101928711,-73.9808120727539,40.760074615478516,1,N,2,28.0,1.0,0.5,,0.0,12.83,,42.33,1
2,2014-09-26 10:50:25,2014-09-26 11:19:31,2014-09-26,2014-09-26,1746,3,17.56,,,-73.93546295166016,40.80410385131836,-73.78792572021484,40.64505386352539,1,N,2,105.5,1.0,0.5,,0.0,12.83,,119.83,2
1,2014-09-22 17:31:26,2014-09-22 17:31:51,2014-09-22,2014-09-22,25,3,3.4,,,-73.98257446289062,40.69230270385742,-73.98287200927734,40.693172454833984,1,N,2,2.5,1.0,0.5,,0.0,21.0,,25.0,1
2,2014-09-04 18:37:14,2014-09-04 19:46:18,2014-09-04,2014-09-04,4144,3,34.96,,,-73.93695068359375,40.79828643798828,-73.56892395019531,40.654056549072266,1,N,2,97.0,1.0,0.5,,0.0,10.66,,109.16,1
2,2014-09-10 19:42:16,2014-09-10 20:11:29,2014-09-10,2014-09-10,1753,6,6.59,,,-73.96040344238281,40.69847106933594,-74.04871368408203,40.72218704223633,3,N,1,40.0,1.0,0.0,,0.0,9.0,,50.0,1
1,2014-05-08 17:34:35,2014-05-08 17:36:13,2014-05-08,2014-05-08,98,3,0.0,,,-73.93441009521484,40.756736755371094,-73.93436431884766,40.756744384765625,1,N,3,3.0,1.0,0.5,,0.0,7.5,,12.0,1
1,2014-05-08 17:42:06,2014-05-08 17:46:16,2014-05-08,2014-05-08,250,4,0.0,,,-73.9342269897461,40.75676727294922,-73.9343490600586,40.756832122802734,1,N,2,4.5,1.0,0.5,,0.0,7.5,,13.5,1
1,2014-05-08 17:47:23,2014-05-08 17:49:43,2014-05-08,2014-05-08,140,4,0.0,,,-73.93428802490234,40.75678634643555,-73.93408203125,40.75676727294922,1,N,2,3.5,1.0,0.5,,0.0,7.5,,12.5,1
2,2014-05-22 16:45:09,2014-05-22 17:25:37,2014-05-22,2014-05-22,2428,3,13.09,,,-73.89020538330078,40.86243438720703,-73.86489868164062,40.770450592041016,1,N,2,40.0,1.0,0.5,,0.0,7.5,,49.0,1
2,2014-05-14 19:27:30,2014-05-14 20:01:03,2014-05-14,2014-05-14,2013,2,9.56,,,-73.91893005371094,40.81632995605469,-73.91999053955078,40.75749969482422,1,N,1,33.0,1.0,0.5,,0.0,7.5,,42.0,1
2,2014-05-02 19:21:56,2014-05-02 19:56:33,2014-05-02,2014-05-02,2077,5,7.97,,,-73.90349578857422,40.74530792236328,-73.86689758300781,40.84315872192383,1,N,1,29.5,1.0,0.5,,0.0,7.5,,38.5,1
2,2014-05-27 16:13:30,2014-05-27 17:43:56,2014-05-27,2014-05-27,5426,2,10.81,,,-73.9413070678711,40.8287239074707,-73.93309020996094,40.74091339111328,1,N,1,56.5,1.0,0.5,,0.0,7.5,,65.5,1
2,2014-05-27 17:53:48,2014-05-27 18:27:02,2014-05-27,2014-05-27,1994,4,5.35,,,-73.9517593383789,40.72331619262695,-73.99298095703125,40.75143814086914,1,N,2,25.0,1.0,0.5,,0.0,7.5,,34.0,1
1,2014-09-05 19:32:04,2014-09-05 19:40:55,2014-09-05,2014-09-05,531,2,3.4,,,-73.91687774658203,40.77120590209961,-73.9388427734375,40.80529022216797,1,N,2,12.0,1.0,0.5,,0.0,7.5,,21.0,1
2,2014-09-16 17:31:45,2014-09-16 17:50:59,2014-09-16,2014-09-16,1154,5,7.67,,,-73.95137023925781,40.79106521606445,-73.86407470703125,40.76344680786133,1,N,1,23.5,1.0,0.5,,0.0,7.5,,32.5,1
2,2014-08-29 16:23:08,2014-08-29 16:35:28,2014-08-29,2014-08-29,740,5,2.61,,,-73.93440246582031,40.801597595214844,-73.92401885986328,40.7918586730957,1,N,1,11.5,1.0,0.5,,0.0,7.5,,20.5,1
1,2014-08-01 17:11:31,2014-08-01 17:30:37,2014-08-01,2014-08-01,1146,2,8.4,,,-73.91985321044922,40.82606887817383,-73.86167907714844,40.768348693847656,1,N,2,25.5,1.0,0.5,,0.0,7.5,,34.5,1
1,2014-05-20 17:03:34,2014-05-20 19:08:41,2014-05-20,2014-05-20,7507,2,16.8,,,-73.95868682861328,40.71684265136719,-74.1893081665039,40.69468688964844,1,N,2,87.0,1.0,0.5,,0.0,11.0,,99.5,1
1,2014-05-22 16:14:18,2014-05-22 16:42:57,2014-05-22,2014-05-22,1719,2,16.4,,,-73.93904876708984,40.83958053588867,-73.92963409423828,41.03847885131836,1,N,2,45.5,1.0,0.5,,0.0,11.0,,58.0,1
2,2014-05-27 16:32:19,2014-05-27 16:38:36,2014-05-27,2014-05-27,377,2,2.19,,,-73.95600128173828,40.85239028930664,-73.99279022216797,40.863712310791016,1,N,2,8.5,1.0,0.5,,0.0,11.0,,21.0,1
1,2014-09-17 16:19:50,2014-09-17 17:27:04,2014-09-17,2014-09-17,4034,2,15.8,,,-73.99008178710938,40.668575286865234,-74.17761993408203,40.690399169921875,1,N,2,57.5,1.0,0.5,,0.0,11.0,,70.0,1
1,2014-09-04 17:53:38,2014-09-04 18:50:58,2014-09-04,2014-09-04,3440,2,15.4,,,-73.98992156982422,40.702186584472656,-74.17790222167969,40.695526123046875,3,N,2,71.5,1.0,0.0,,0.0,11.0,,83.5,1
2,2014-08-13 17:03:33,2014-08-13 18:23:59,2014-08-13,2014-08-13,4826,2,15.49,,,-73.95870208740234,40.71657943725586,-74.17749786376953,40.69078826904297,3,N,2,83.5,1.0,0.0,,0.0,11.0,,95.5,1
1,2014-08-18 16:45:22,2014-08-18 17:31:40,2014-08-18,2014-08-18,2778,2,24.7,,,-73.9503173828125,40.82667922973633,-74.10438537597656,40.66698455810547,3,N,2,85.5,1.0,0.0,,0.0,11.0,,97.5,1
