"order_key","payment_sequential","payment_type_sk","payment_installments","payment_value"
71446,1,2,8,99.33
65633,1,2,1,24.39
14657,1,2,1,65.71
72396,1,2,8,107.78
25967,1,2,2,128.45
16046,1,2,2,96.12
46192,1,2,1,81.16
23843,1,2,3,51.84
12217,1,2,6,341.09
2146,1,1,1,51.95
84233,1,2,8,188.73
14147,1,2,1,141.90
37715,1,2,1,75.78
80706,1,2,5,102.66
46010,1,2,4,105.28
7374,1,2,10,157.45
37577,1,2,1,132.04
47260,1,2,1,98.94
53706,1,2,4,244.15
69064,1,2,3,136.71
34967,1,2,4,47.69
25626,1,2,2,170.57
67397,1,2,4,67.50
30161,1,2,10,353.09
54470,1,1,1,330.66
