"date_key","year","quarter","month","month_key","month_name","day_of_week","day_name","is_weekend"
2016-01-01,2016,1,1,201601,"Jan 2016",6,"Fri",false
2016-01-02,2016,1,1,201601,"Jan 2016",7,"Sat",true
2016-01-03,2016,1,1,201601,"Jan 2016",1,"Sun",true
2016-01-04,2016,1,1,201601,"Jan 2016",2,"Mon",false
2016-01-05,2016,1,1,201601,"Jan 2016",3,"Tue",false
2016-01-06,2016,1,1,201601,"Jan 2016",4,"Wed",false
2016-01-07,2016,1,1,201601,"Jan 2016",5,"Thu",false
2016-01-08,2016,1,1,201601,"Jan 2016",6,"Fri",false
2016-01-09,2016,1,1,201601,"Jan 2016",7,"Sat",true
2016-01-10,2016,1,1,201601,"Jan 2016",1,"Sun",true
2016-01-11,2016,1,1,201601,"Jan 2016",2,"Mon",false
2016-01-12,2016,1,1,201601,"Jan 2016",3,"Tue",false
2016-01-13,2016,1,1,201601,"Jan 2016",4,"Wed",false
2016-01-14,2016,1,1,201601,"Jan 2016",5,"Thu",false
2016-01-15,2016,1,1,201601,"Jan 2016",6,"Fri",false
2016-01-16,2016,1,1,201601,"Jan 2016",7,"Sat",true
2016-01-17,2016,1,1,201601,"Jan 2016",1,"Sun",true
2016-01-18,2016,1,1,201601,"Jan 2016",2,"Mon",false
2016-01-19,2016,1,1,201601,"Jan 2016",3,"Tue",false
2016-01-20,2016,1,1,201601,"Jan 2016",4,"Wed",false
2016-01-21,2016,1,1,201601,"Jan 2016",5,"Thu",false
2016-01-22,2016,1,1,201601,"Jan 2016",6,"Fri",false
2016-01-23,2016,1,1,201601,"Jan 2016",7,"Sat",true
2016-01-24,2016,1,1,201601,"Jan 2016",1,"Sun",true
2016-01-25,2016,1,1,201601,"Jan 2016",2,"Mon",false
