"seller_sk","seller_id","seller_name","seller_zip_prefix","seller_city","seller_state","seller_lat","seller_lng"
-1,,"Unknown",,,"??",,
623,"3442f8959a84dea7ee197c632cb2df15","Loja Tupã Esportes ME","13023","Campinas","SP",-22.89456108964741,-47.062379993857334
2541,"d1b65fc7debc3361ea86b5f14c68d2e2","Andorinha Distribuidora EIRELI","13844","Mogi Guacu","SP",-22.382440326387492,-46.947605466481896
2506,"ce3ad9de960102d0677a81f5d0bb7b2d","Solaris Bebê","20031","Rio De Janeiro","RJ",-22.909623653615373,-43.17677364461301
2326,"c0f3eea2e14555b6faeea3dd58c1b1c3","Fernandes & Lima Esportes EIRELI","04195","Sao Paulo","SP",-23.657452634995465,-46.612405838882815
982,"51a04a8a6bdcb23deccc82b0b80742cf","Itapuã Eletrônicos ME","12914","Braganca Paulista","SP",-22.964435507357585,-46.53509019666396
2343,"c240c4061717ac1806ae6ee72be3533b","Araucária Comércio ME","20920","Rio De Janeiro","RJ",-22.894691688874108,-43.23273499623121
2749,"e49c26c3edfa46d227d5121a6b6e4d37","Siqueira Center Ltda","55325","Brejao","PE",-9.024839005157318,-36.57020044972058
322,"1b938a7ec6ac5061a66a3766e0e75f90","Paraty Bebê Comércio Ltda","16304","Penapolis","SP",-21.43890147950148,-50.076963958313655
1458,"768a86e36ad6aae3d03ee3c6433d61df","Pampa Brinquedos Comércio Ltda","01529","Sao Paulo","SP",-23.5688472717122,-46.635170023457746
2490,"ccc4bbb5f32a6ab2b7066a4130f114e3","Ribeiro & Machado Cosméticos Comércio Ltda","80310","Curitiba","PR",-25.45795217485142,-49.30899607966408
1727,"8cb7c5ddf41f4d506eba76e9a4702a25","Marques & Moraes Esportes Ltda","75110","Anapolis","GO",-16.332286499999995,-48.93836366880149
2033,"a7a9b880c49781da66651ccf4ba9ac38","Gomes Cama Mesa e Banho EIRELI","13530","Itirapina","SP",-22.25312279156327,-47.81960174393507
1716,"8bd0f31cf0a614c658f6763bd02dea69","Mandacaru Decorações Ltda","01222","Sao Paulo","SP",-23.545494603990612,-46.650239412718506
66,"05a48cc8859962767935ab9087417fbb","Moura & Batista Jardinagem Ltda","05372","Sao Paulo","SP",-23.58244607918687,-46.76336268947403
1524,"7b8e8ec35bad4b0ef7e3963650b0a87b","Loja Juriti Autopeças","88705","Tubarao","SC",-28.479930640257837,-48.99718340569771
239,"1444c08e64d55fb3c25f0f09c07ffcf2","Loja Pampa Jardinagem ME","42738","Lauro De Freitas","BA",-12.89472449617752,-38.33875838605659
264,"166e8f1381e09651983c38b1f6f91c11","Casa Viva Distribuidora Comércio Ltda","88780","Imbituba","SC",-28.23876137953961,-48.672978306947584
2735,"e38db885400cd35c71dfd162f2c1dbcf","Coelho Cama Mesa e Banho ME","70740","Brasilia","DF",-15.768150750000002,-47.891037375
2557,"d2e753bb80b7d4faa77483ed00edc8ca","Cristal Bolsas e Acessórios Ltda","45810","Porto Seguro","BA",-16.432305466129215,-39.07585856311037
3018,"f9ec7093df3a7b346b7bcf7864069ca3","Loja Maré Utilidades Comércio Ltda","05138","Sao Paulo","SP",-23.484744245568784,-46.7347960830412
944,"4e6015589b781adaa5ce7f1892d06bb1","Campos & Magalhães Esportes","11440","Guaruja","SP",-23.98451511073924,-46.24179851582582
920,"4cf490a58259286ada5ba8525ba9e84a","Mendes & Melo Variedades Comércio Ltda","14910","Tabatinga","SP",-21.736513274922913,-48.68791766596293
2990,"f7496d659ca9fdaf323c0aae84176632","Loja Pampa Decorações Ltda","04156","Sao Paulo","SP",-23.632807714957597,-46.623412260127544
572,"2ff97219cb8622eaf3cd89b7d9c09824","Aurora Utilidades Ltda","13320","Salto","SP",-23.202613718016018,-47.294568557377815
