"order_key","order_item_id","product_sk","seller_sk","shipping_limit_date","price","freight_value","distance_km","is_same_state"
1,1,8629,855,2017-09-19,58.90,13.29,301.2,false
2,1,29598,2679,2017-05-03,239.90,19.93,588.4,true
3,1,25668,1118,2018-01-18,199.00,17.87,312.8,true
4,1,15323,1920,2018-08-15,12.99,12.79,295,true
5,1,22080,2698,2017-02-13,199.90,18.14,646.5,false
6,1,30848,1224,2017-05-23,21.90,12.69,161.8,false
7,1,18182,1372,2017-12-14,19.90,11.85,484.7,true
8,1,11123,1091,2018-07-10,810.00,70.75,548.1,true
9,1,6385,1997,2018-03-26,145.95,11.65,53.2,true
10,1,9013,2231,2018-07-06,53.99,11.40,33.3,true
11,1,27628,2482,2018-03-29,59.99,8.88,154.2,true
12,1,31102,1644,2018-07-31,45.00,12.98,318.2,true
13,1,19743,882,2018-07-26,74.00,23.32,566.2,false
14,1,7080,369,2018-02-21,49.90,13.37,396.7,true
14,2,7080,369,2018-02-21,49.90,13.37,396.7,true
15,1,18083,1013,2018-08-17,99.90,27.65,865,false
16,1,8238,3050,2018-05-02,639.00,11.34,80,true
17,1,10354,3065,2018-05-16,144.00,8.77,37.7,true
18,1,23217,402,2017-08-21,99.00,13.71,249.1,true
19,1,12287,1728,2018-02-28,25.00,16.11,392.4,false
20,1,11081,326,2018-03-29,47.90,8.88,21.7,true
21,1,11395,2837,2017-11-27,21.99,11.85,318.4,true
22,1,3716,1536,2018-03-21,119.99,44.40,257.2,false
23,1,12118,1236,2018-03-05,49.00,15.10,503.9,false
24,1,11708,631,2017-09-15,48.90,16.60,339.3,false
