"order_key","customer_sk","order_status","purchase_date","purchase_hour","approved_date","delivered_carrier_date","delivered_customer_date","estimated_delivery_date","days_to_approve","days_to_deliver","days_vs_estimate","is_late","item_count","items_value","freight_total","payment_total","payment_installments","review_score"
88951,21397,"delivered",2017-10-02,10,2017-10-02,2017-10-04,2017-10-10,2017-10-18,0,8,-8,false,1,29.99,8.72,38.71,1,4
32546,79847,"delivered",2018-07-24,20,2018-07-26,2018-07-26,2018-08-07,2018-08-13,2,14,-6,false,1,118.70,22.76,141.46,1,4
27770,56000,"delivered",2018-08-08,8,2018-08-08,2018-08-08,2018-08-17,2018-09-04,0,9,-18,false,1,159.90,19.22,179.12,3,5
57386,21375,"delivered",2017-11-18,19,2017-11-18,2017-11-22,2017-12-02,2017-12-15,0,14,-13,false,1,45.00,27.20,72.20,1,5
67044,67456,"delivered",2018-02-13,21,2018-02-13,2018-02-14,2018-02-16,2018-02-26,0,3,-10,false,1,19.90,8.72,28.62,1,5
63543,22197,"delivered",2017-07-09,21,2017-07-09,2017-07-11,2017-07-26,2017-08-01,0,17,-6,false,1,147.90,27.36,175.26,6,4
7553,9459,"invoiced",2017-04-11,12,2017-04-13,,,2017-05-09,2,,,,1,49.90,16.05,65.95,1,2
39236,25302,"delivered",2017-05-16,13,2017-05-16,2017-05-22,2017-05-26,2017-06-07,0,10,-12,false,1,59.99,15.17,75.16,3,5
46083,9871,"delivered",2017-01-23,18,2017-01-25,2017-01-26,2017-02-02,2017-03-06,2,10,-32,false,1,19.90,16.05,35.95,1,1
89697,7149,"delivered",2017-07-29,11,2017-07-29,2017-08-10,2017-08-16,2017-08-23,0,18,-7,false,1,149.99,19.77,169.76,1,5
89777,41737,"delivered",2017-05-16,19,2017-05-16,2017-05-18,2017-05-29,2017-06-07,0,13,-9,false,2,198.00,61.06,259.06,1,1
20250,20718,"delivered",2017-07-13,19,2017-07-13,2017-07-14,2017-07-19,2017-08-08,0,6,-20,false,1,98.00,16.13,114.13,1,4
50499,91716,"delivered",2018-06-07,10,2018-06-09,2018-06-11,2018-06-19,2018-07-18,2,12,-29,false,1,31.90,18.23,50.13,1,5
37170,90337,"delivered",2018-07-25,17,2018-07-25,2018-07-26,2018-07-30,2018-08-08,0,5,-9,false,1,19.90,12.80,32.70,3,5
26047,45022,"delivered",2018-03-01,14,2018-03-01,2018-03-02,2018-03-12,2018-03-21,0,11,-9,false,1,38.25,16.11,54.36,1,4
85855,35247,"delivered",2018-06-07,19,2018-06-12,2018-06-11,2018-06-21,2018-07-04,5,14,-13,false,1,132.40,14.05,146.45,10,5
24873,18968,"delivered",2018-01-02,19,2018-01-02,2018-01-03,2018-01-20,2018-02-06,0,18,-17,false,1,1299.00,77.45,1376.45,10,
6831,16721,"delivered",2017-12-26,23,2017-12-26,2017-12-28,2018-01-08,2018-01-29,0,13,-21,false,1,27.99,15.10,43.09,4,5
51821,36013,"delivered",2017-11-21,0,2017-11-21,2017-11-23,2017-11-27,2017-12-11,0,6,-14,false,1,17.90,11.85,29.75,1,5
50782,17150,"delivered",2017-10-26,15,2017-10-26,2017-10-26,2017-11-08,2017-11-23,0,13,-15,false,1,76.00,16.97,92.97,1,4
12489,37018,"delivered",2017-09-18,14,2017-09-19,2017-10-06,2017-10-09,2017-09-28,1,21,11,true,1,109.90,8.96,118.86,1,2
96440,65443,"delivered",2018-03-15,8,2018-03-15,2018-03-15,2018-03-19,2018-03-29,0,4,-10,false,1,79.99,8.91,88.90,4,5
15451,81864,"delivered",2018-02-03,20,2018-02-03,2018-02-05,2018-02-08,2018-02-21,0,5,-13,false,1,9.50,7.78,17.28,1,3
57600,58153,"delivered",2018-01-08,7,2018-01-08,2018-01-24,2018-01-26,2018-02-21,0,18,-26,false,1,129.99,57.58,187.57,3,4
94759,76052,"delivered",2018-08-09,11,2018-08-10,2018-08-10,2018-08-13,2018-08-17,1,4,-4,false,1,89.90,14.21,104.11,1,5
