start_utc,end_utc,item_type,item,status,invoke_type
2026-09-19T22:09:38,2026-09-19T22:24:39,Notebook,Create schemas,Completed,Manual
2026-09-19T22:31:07,2026-09-19T22:38:16,Notebook,Raw File Ground Truth,Completed,Manual
2026-09-19T22:40:20,2026-09-19T22:46:15,Notebook,Bronze Build,Completed,Manual
2026-09-19T22:46:25,2026-09-19T23:13:35,Notebook,Raw File Ground Truth,Completed,Manual
2026-09-20T20:19:16,2026-09-20T20:20:10,Notebook,Create schemas,Completed,Manual
2026-09-20T20:25:12,2026-09-20T20:47:35,Notebook,meta.bronze_profile,Completed,Manual
2026-09-20T21:09:58,2026-09-20T21:09:58,Dataflow,Profile Bronze,Completed,Manual
2026-09-20T21:10:14,2026-09-20T21:11:21,Dataflow,Profile Bronze,Completed,Manual
2026-09-20T21:12:40,2026-09-20T21:12:40,Dataflow,Profile Bronze,Completed,Manual
2026-09-20T21:12:59,2026-09-20T21:13:14,Dataflow,Profile Bronze,Completed,Manual
2026-09-21T14:49:06,2026-09-21T14:52:39,Notebook,Bronze Build,Completed,Manual
2026-09-21T14:54:03,2026-09-21T16:06:46,Notebook,Silver Build,Completed,Manual
2026-09-21T16:14:04,2026-09-21T16:17:35,Notebook,Orders Watermark Setup,Completed,Manual
2026-09-21T16:20:05,2026-09-21T16:36:15,Notebook,Load Orders Increment,Completed,Manual
2026-09-21T16:37:02,2026-09-21T16:38:18,Notebook,Orders Watermark Setup,Completed,Manual
2026-09-21T16:38:56,2026-09-21T17:00:31,Notebook,Load Orders Increment,Completed,Manual
2026-09-21T17:22:23,2026-09-21T17:25:00,Notebook,Count New Orders,Completed,Manual
2026-09-21T17:25:54,2026-09-21T17:26:40,Notebook,Log Error,Completed,Manual
2026-09-21T17:27:12,2026-09-21T17:47:47,Notebook,Log Error,Completed,Manual
2026-09-21T18:48:44,2026-09-21T18:50:31,Notebook,Create schemas,Completed,Manual
2026-09-21T18:58:41,2026-09-21T19:01:23,DataPipeline,P2 Incremental,Failed,Manual
2026-09-21T18:59:23,2026-09-21T18:59:53,Notebook,Count New Orders,Completed,Manual
2026-09-21T18:59:58,2026-09-21T19:00:01,Notebook,Load Orders Increment,Failed,Manual
2026-09-21T19:00:46,2026-09-21T19:01:10,Notebook,Log Error,Completed,Manual
2026-09-21T19:20:41,2026-09-21T19:31:33,Notebook,Silver Build,Completed,Manual
2026-09-21T19:31:51,2026-09-21T19:33:43,DataPipeline,P2 Incremental,Completed,Manual
2026-09-21T19:32:47,2026-09-21T19:34:38,Notebook,Count New Orders,Completed,Manual
2026-09-21T19:40:30,2026-09-21T19:43:20,Notebook,Orders Watermark Setup,Completed,Manual
2026-09-21T19:43:44,2026-09-21T19:46:08,DataPipeline,P2 Incremental,Completed,Manual
2026-09-21T19:44:12,2026-09-21T19:44:44,Notebook,Count New Orders,Completed,Manual
2026-09-21T19:45:14,2026-09-21T19:45:57,Notebook,Load Orders Increment,Completed,Manual
2026-09-21T19:58:26,2026-09-21T20:00:32,Notebook,Fault tolerance - Copy activity,Completed,Manual
2026-09-21T20:06:11,2026-09-21T20:09:01,DataPipeline,P2 Fault Tolerance,Failed,Manual
2026-09-21T20:12:54,2026-09-21T20:13:28,Notebook,Fault tolerance - Copy activity,Completed,Manual
2026-09-21T20:15:42,2026-09-21T20:16:32,Notebook,Fault tolerance - Copy activity,Completed,Manual
2026-09-21T20:16:32,2026-09-21T20:18:25,DataPipeline,P2 Fault Tolerance,Completed,Manual
2026-09-21T20:22:12,2026-09-21T20:26:49,Notebook,Fault tolerance - Copy activity,Completed,Manual
