"order_key","order_item_id","product_sk","seller_sk","shipping_limit_date","price","freight_value","distance_km","is_same_state"
59366,1,16418,1467,2018-01-05,69.90,11.73,1.9,true
57446,1,10104,2313,2018-02-19,199.90,23.47,260.9,true
77366,1,30977,2486,2017-04-10,50.90,15.57,572.2,false
40316,1,9888,2482,2018-03-15,84.99,8.95,63,true
44156,1,22011,2191,2018-08-29,18.55,16.32,462.3,false
97736,1,25464,3088,2018-04-26,159.00,23.69,612.1,false
54836,1,5704,1413,2017-05-11,89.99,15.38,574.2,false
7166,1,24960,2837,2018-02-12,29.99,21.15,2356.9,false
2216,1,7928,322,2018-01-30,63.90,25.29,726.3,false
44126,3,31527,1101,2018-07-23,14.99,15.23,343.5,false
81746,1,20604,1014,2018-01-16,599.00,55.41,1230.7,false
27236,1,5361,732,2017-11-21,120.00,49.37,379.8,false
1406,1,11864,2672,2018-01-16,69.90,14.22,263.6,true
64226,1,7364,1873,2018-05-10,158.00,11.73,17.2,true
25526,1,7702,1053,2018-02-08,29.99,15.10,336.1,false
72626,1,12077,3027,2017-03-09,49.90,8.72,9.1,true
62936,1,12249,2136,2017-07-03,59.00,17.66,264,false
46616,1,24946,2837,2018-04-18,29.99,12.79,182.3,true
98276,1,8501,1071,2017-06-20,34.90,15.79,1100.8,false
29006,2,31229,1017,2018-04-03,56.00,13.75,364.1,true
15116,2,23233,193,2017-10-30,38.40,9.34,133.6,true
41846,1,1321,858,2017-10-26,109.90,12.27,300.2,true
29876,1,8422,293,2018-08-08,40.99,13.87,224.8,true
54086,2,8685,1589,2017-11-20,58.90,8.56,95,true
2036,1,13562,1948,2018-03-19,139.00,18.85,640.2,false
